"","terms","value","component","id"
"145","Fours",0.139309872684705,"PC11","pca_qt6i0"
"146","Sixes",0.0419496782555099,"PC11","pca_qt6i0"
"147","Total_runs",-0.10017495210687,"PC11","pca_qt6i0"
"148","Total_balls",-0.0543740757572296,"PC11","pca_qt6i0"
"149","Dismissals",0.185875606846027,"PC11","pca_qt6i0"
"150","Matches",-0.300199978889461,"PC11","pca_qt6i0"
"151","High_score",-0.0903305669770928,"PC11","pca_qt6i0"
"152","Max_strike_rate",0.0162850206628248,"PC11","pca_qt6i0"
"153","Bat_avg",0.0874952196164529,"PC11","pca_qt6i0"
"154","Wining_balls",-0.162329207173247,"PC11","pca_qt6i0"
"155","Dots",-0.272250361290355,"PC12","pca_qt6i0"
"156","Singles",0.207559890777713,"PC12","pca_qt6i0"
"157","Twos",-0.084945985418725,"PC12","pca_qt6i0"
"158","Threes",0.00633574863157732,"PC12","pca_qt6i0"
"159","Fours",-0.103447625252508,"PC12","pca_qt6i0"
"160","Sixes",-0.000235974255678,"PC12","pca_qt6i0"
"161","Total_runs",0.0647802087863548,"PC12","pca_qt6i0"
"162","Total_balls",-0.0208259919146939,"PC12","pca_qt6i0"
"163","Dismissals",0.725824001085834,"PC12","pca_qt6i0"
"164","Matches",-0.544279708605227,"PC12","pca_qt6i0"
"165","High_score",-0.140310956834466,"PC12","pca_qt6i0"
"166","Max_strike_rate",0.0160864318982072,"PC12","pca_qt6i0"
"167","Bat_avg",0.120599690345086,"PC12","pca_qt6i0"
"168","Wining_balls",0.0515742296333876,"PC12","pca_qt6i0"
"169","Dots",0.210776176961923,"PC13","pca_qt6i0"
"170","Singles",0.463083519280642,"PC13","pca_qt6i0"
"171","Twos",0.103781599176169,"PC13","pca_qt6i0"
"172","Threes",0.0251797227384365,"PC13","pca_qt6i0"
"173","Fours",0.209767861432103,"PC13","pca_qt6i0"
"174","Sixes",0.2171260934975,"PC13","pca_qt6i0"
"175","Total_runs",-0.619550568827744,"PC13","pca_qt6i0"
"176","Total_balls",-0.502671196606864,"PC13","pca_qt6i0"
"177","Dismissals",-0.00586431465326298,"PC13","pca_qt6i0"
"178","Matches",-0.0422054282583065,"PC13","pca_qt6i0"
"179","High_score",-0.0121127444611056,"PC13","pca_qt6i0"
"180","Max_strike_rate",0.00501728060551673,"PC13","pca_qt6i0"
"181","Bat_avg",0.00392048814321763,"PC13","pca_qt6i0"
"182","Wining_balls",0.00720645265213565,"PC13","pca_qt6i0"
"183","Dots",-0.268027899132089,"PC14","pca_qt6i0"
"184","Singles",-0.100855697636422,"PC14","pca_qt6i0"
"185","Twos",0.018215261439886,"PC14","pca_qt6i0"
"186","Threes",0.00572357389344004,"PC14","pca_qt6i0"
"187","Fours",0.141450512235112,"PC14","pca_qt6i0"
"188","Sixes",0.132929495490093,"PC14","pca_qt6i0"
"189","Total_runs",-0.631569795218787,"PC14","pca_qt6i0"
"190","Total_balls",0.692941937154554,"PC14","pca_qt6i0"
"191","Dismissals",0.0291418291328157,"PC14","pca_qt6i0"
"192","Matches",0.00372038202291799,"PC14","pca_qt6i0"
"193","High_score",-0.00138963350302835,"PC14","pca_qt6i0"
"194","Max_strike_rate",-0.00206886865151399,"PC14","pca_qt6i0"
"195","Bat_avg",0.00335237692533405,"PC14","pca_qt6i0"
"196","Wining_balls",-0.00408027366941325,"PC14","pca_qt6i0"
