"","Player","Country","PC01","PC02","PC03","PC04","PC05","PC06","PC07","PC08","PC09","PC10","PC11","PC12","PC13","PC14"
"17","AS Joseph","Overseas",2.09067800069945,0.231320416105349,0.0752833391716664,0.198015649811882,0.0804751961960884,0.0448189168473969,0.0994116733209982,-0.39228197020534,-0.0690406000845898,-0.00498324327358773,-0.0219932918325904,-0.136033162107129,-0.000266404200245957,0.00519814080303718
"18","AT Nidamanuru","Overseas",1.98976854584521,0.714586745189361,0.216133033436345,0.345520783666016,0.0225304227056401,-0.0838765466748982,0.108593069449713,-0.0201607385999278,0.0560233768533099,-0.122784780011081,0.099745145856775,0.0644504375902558,-0.0499267375868942,0.0192903601551176
"19","AU Rashid","Overseas",1.92022715616977,0.123889016309912,-0.524461760168547,0.228240356550358,0.23865113576189,-0.31189442254733,0.097399904764006,0.210694829254871,-0.0564550005992352,0.0901597257512586,-0.151048009446483,-0.0316505920167831,-0.00999524576179679,-0.00985735341090037
"20","Aamer Jamal","Overseas",2.62612634814218,0.0400035398322038,0.0713869699181971,-0.0633580631231396,-0.153330458690094,0.322859880025355,-0.156463688086617,0.0193809721651216,0.0193515018335985,0.0246489014060853,0.0268720161663701,0.106846977779972,0.00630147104314271,-0.00236068397016457
"21","Aaron Jones","Overseas",0.88246316345211,0.608374568191369,0.254927823924715,-0.325944404810381,0.112128672911975,-0.345355581860548,0.0244160592784777,0.174971755767342,0.0493667006018995,-0.123141432108608,-0.105278161726076,0.113312223628775,0.0180837513461579,0.00722221947412653
"22","Aayan Afzal Khan","Overseas",1.57512348786716,0.346515705688466,0.334412128780179,-0.621359090861615,0.0841180098699544,0.0174671295607242,0.228790604742294,0.0479813769050519,0.0380881952537509,0.119930778296909,0.210592040147404,0.0798196967173757,0.00242052747800064,0.0015445145195418
"23","Afif Hossain","Overseas",-6.44759260806633,1.36146012405977,-0.33537596356648,-1.18552792931492,0.503562151515196,0.447565286616859,1.16617261774046,0.269017265580843,0.283311585140196,0.120015054995054,0.0643133983045139,-0.0962937766010256,0.111274406768079,0.00455489841049179
"24","Afsar Zazai","Overseas",2.05273303762541,0.5965206782164,1.14130853819708,0.242272068753821,-0.00112637216779609,0.058181118197811,-0.00879482989364844,-0.220125517995052,-0.217460601879202,-0.173104976874886,0.115750924161696,0.114648466878202,0.0278335480017319,-0.0112815236521139
"25","Ahmed Raza","Overseas",2.75296318309871,0.200241241929082,-0.248044464516403,0.0114159582564778,-0.210369615730656,0.243401837261203,-0.159340797887196,-0.00115116475610744,0.0119786252264435,0.042899502240991,-0.0255238317793981,-0.00794220910253279,-0.00201769334312478,-0.0016669174589841
"26","Anamul Haque","Overseas",1.01000865777343,0.729597653859896,-0.219876087597637,-0.218171741359646,0.052510049323858,-0.405411889949385,0.23110965531896,-0.122825747791836,0.0987181076617911,-0.0975202016341721,0.107119731123595,0.0847053756233907,0.0230347364055202,0.0018271791254706
