"","Player","Year","Dots","Singles","Twos","Threes","Fours","Sixes","Total_runs","Total_balls","Dismissals","Matches","High_score","Max_strike_rate","Bat_avg","Wining_balls","Country","Batsman_status"
"81","DR Sams",2022,16,16,4,0,4,2,52,39,2,3,28,200,26,0,"Overseas",1
"82","DT Tiripano",2022,19,16,3,0,2,0,30,37,3,4,18,100,10,0,"Overseas",1
"83","Darwish Rasooli",2022,29,22,3,1,3,1,49,54,4,5,15,150,12.25,39,"Overseas",1
"84","E Lewis",2022,24,24,2,0,2,1,42,48,3,3,15,107.692307692308,14,19,"Overseas",1
"85","EJG Morgan",2022,29,12,2,0,2,1,30,41,2,2,17,108.333333333333,15,14,"Overseas",1
"86","F Hand",2022,12,8,2,0,6,2,48,25,5,5,36,250,9.6,2,"Overseas",1
"87","FA Allen",2022,7,5,1,0,1,1,17,13,2,3,12,166.666666666667,8.5,1,"Overseas",1
"88","FH Allen",2022,118,69,13,3,37,26,408,244,18,18,101,280,22.6666666666667,236,"Overseas",1
"89","FJ Klaassen",2022,6,5,3,0,0,0,11,9,4,6,7,150,2.75,1,"Overseas",1
"90","Fakhar Zaman",2022,48,44,6,0,12,2,116,102,8,8,53,200,14.5,86,"Overseas",1
"91","Fareed Ahmad",2022,8,1,1,0,0,0,3,9,0,2,2,50,1.5,0,"Overseas",1
"92","Fazalhaq Farooqi",2022,2,0,0,0,0,0,0,1,1,1,0,0,0,0,"Overseas",1
"93","G Singh",2022,17,8,2,0,2,1,26,25,4,4,12,120,6.5,11,"Overseas",1
"94","GD Phillips",2022,127,171,59,3,46,30,662,411,15,18,104,260.869565217391,44.1333333333333,320,"Overseas",1
"95","GH Dockrell",2022,106,132,23,0,38,17,432,297,15,23,58,250,28.8,107,"Overseas",1
"96","GHS Garton",2022,2,2,0,0,0,0,2,3,1,1,2,66.6666666666667,2,0,"Overseas",1
"97","GI Hume",2022,1,1,0,0,0,0,0,0,1,1,0,0,0,0,"Overseas",1
"98","GJ Delany",2022,86,91,24,1,20,10,282,212,19,23,51,250,14.8421052631579,112,"Overseas",1
