"","Player","Year","bowler_Dots","bowler_Singles","bowler_Twos","bowler_Threes","bowler_Fours","bowler_Sixes","Bowler_wickets","Bowler_Matches","Total_wides","Total_noballs","Total_overs","Total_runs_conceded","Bowler_min_econ_rate","Bowler_wining_balls","Country","Bowler_status"
"100","JO Holder",2022,154,180,37,0,48,22,28,19,17,3,68.5,594,4.66666666666667,108,"Overseas",1
"101","JR Hazlewood",2022,154,107,23,2,40,19,22,15,8,1,57.5,416,3,241,"Overseas",1
"102","Junaid Siddique",2022,130,149,28,1,47,16,20,15,23,1,62,480,4.66666666666667,197,"Overseas",1
"103","K Rabada",2022,112,100,12,3,41,14,8,12,12,0,47,374,3.6,142,"Overseas",1
"104","KA Maharaj",2022,108,148,15,0,33,16,16,15,5,0,58.8333333333333,440,5.75,195,"Overseas",1
"105","KA Pollard",2022,31,60,9,1,7,3,4,6,9,0,18.5,126,5.5,52,"Overseas",1
"106","KD Karthik",2022,1,0,3,0,0,2,0,1,0,0,1,18,18,6,"Local",1
"107","KIC Asalanka",2022,12,12,0,0,1,0,0,3,0,0,4.16666666666667,16,2.33333333333333,0,"Overseas",1
"108","KMA Paul",2022,8,16,4,0,7,0,1,3,4,2,6,57,7.71428571428571,7,"Overseas",1
"109","KP Meiyappan",2022,91,118,15,1,13,13,20,12,5,0,41.8333333333333,279,3.12,98,"Overseas",1
"110","KR Mayers",2022,23,24,5,1,15,2,0,7,5,0,15.3333333333333,142,6.85714285714286,19,"Overseas",1
"111","KW Richardson",2022,66,68,13,1,23,15,16,8,6,0,23.6666666666667,226,5.25,118,"Overseas",1
"112","Karim Janat",2022,11,22,4,1,3,1,1,4,0,0,7,46,5,36,"Overseas",1
"113","Kashif Daud",2022,44,83,7,1,17,8,10,11,6,0,25,198,3.5,108,"Overseas",1
"114","Khushdil Shah",2022,1,3,1,0,1,0,0,1,0,0,1,9,9,0,"Overseas",1
"115","Kuldeep Yadav",2022,24,16,3,1,4,0,3,2,0,0,8,34,3,48,"Local",1
"116","L Ngidi",2022,87,81,18,1,32,15,19,11,11,3,39.8333333333333,369,4.42105263157895,118,"Overseas",1
"117","L Wood",2022,14,25,6,0,6,2,3,2,5,0,13.6666666666667,122,6,24,"Overseas",1
"118","LA Dawson",2022,29,41,6,0,5,3,1,5,0,0,14,90,3,12,"Overseas",1
"119","LH Ferguson",2022,117,100,20,2,32,12,18,12,14,3,47.8333333333333,361,4,185,"Overseas",1
"120","LM Jongwe",2022,75,159,31,4,35,5,18,19,24,3,60.3333333333333,459,4.5,165,"Overseas",1
"121","LS Livingstone",2022,44,68,13,0,19,12,8,11,7,1,26.3333333333333,247,5.1,82,"Overseas",1
"122","LV van Beek",2022,91,99,18,1,17,14,20,12,8,0,30,225,3.78947368421053,115,"Overseas",1
"123","M Jansen",2022,9,9,2,0,5,1,1,1,1,1,4.33333333333333,38,8.76923076923077,0,"Overseas",1
"124","M Pathirana",2022,2,0,1,0,2,1,0,1,0,0,1,16,16,0,"Overseas",1
"125","M Shumba",2022,16,24,3,0,3,2,3,3,0,0,8,54,5.33333333333333,24,"Overseas",1
"126","M Theekshana",2022,191,219,40,3,33,17,26,21,16,1,80.8333333333333,526,4.75,268,"Overseas",1
"127","MA Leask",2022,19,36,8,1,6,3,5,4,1,0,12.1666666666667,91,3.6,25,"Overseas",1
"128","MA Starc",2022,86,91,18,4,27,8,13,9,19,2,44,348,4.61538461538462,187,"Overseas",1
"129","MA Wood",2022,74,53,9,1,18,8,21,7,7,0,27.1666666666667,186,5,113,"Overseas",1
"130","MD Gunathilaka",2022,1,2,1,0,1,0,0,1,0,0,0.833333333333333,8,9.6,0,"Overseas",1
"131","MD Shanaka",2022,20,40,17,0,13,3,4,10,8,1,19.5,177,5.25,49,"Overseas",1
"132","MG Bracewell",2022,91,77,9,3,15,1,18,11,5,0,32.6666666666667,167,2.53846153846154,153,"Overseas",1
"133","MJ Santner",2022,157,172,21,3,35,12,23,17,11,0,71.1666666666667,460,3.75,310,"Overseas",1
"134","MJ Swepson",2022,2,5,0,0,2,3,0,1,0,0,2,31,15.5,0,"Overseas",1
"135","MJG Rippon",2022,11,7,3,0,3,2,2,1,2,0,4.33333333333333,37,8.53846153846154,26,"Overseas",1
"136","MM Ali",2022,63,95,14,2,17,21,12,18,7,1,35.3333333333333,320,3.42857142857143,132,"Overseas",1
"137","MO Kain",2022,3,5,0,0,0,2,0,1,0,0,1.66666666666667,16,9.6,10,"Overseas",1
"138","MP Stoinis",2022,34,80,14,0,11,7,8,9,8,0,24.3333333333333,190,4,51,"Overseas",1
"139","MR Adair",2022,203,240,50,4,76,25,29,27,51,1,109.666666666667,891,3.78947368421053,240,"Overseas",1
"140","MR Marsh",2022,5,10,4,0,3,2,1,3,0,0,4,42,7,24,"Overseas",1
"141","MRJ Watt",2022,48,43,11,2,10,5,6,5,5,0,19.8333333333333,139,2.88,25,"Overseas",1
"142","MW Parkinson",2022,7,20,4,0,8,1,1,2,4,0,6.66666666666667,65,9.69230769230769,0,"Overseas",1
"143","Mahedi Hasan",2022,77,65,10,2,17,5,6,8,4,2,30.8333333333333,180,3.33333333333333,36,"Overseas",1
"144","Mahmudullah",2022,11,7,0,0,1,1,2,3,0,0,3.33333333333333,17,2,0,"Overseas",1
"145","Mehedi Hasan Miraz",2022,22,40,8,0,4,4,4,6,0,0,13,96,5.66666666666667,30,"Overseas",1
"146","Mohammad Hasnain",2022,74,84,16,2,34,13,9,9,11,3,37.3333333333333,331,7,129,"Overseas",1
"147","Mohammad Nabi",2022,76,118,30,1,29,7,13,15,3,0,43.5,334,3.36,123,"Overseas",1
"148","Mohammad Nawaz",2022,118,220,27,2,37,18,22,22,4,1,71.3333333333333,546,2,242,"Overseas",1
"149","Mohammad Saifuddin",2022,28,39,12,2,21,5,3,5,4,2,13.6666666666667,130,7.8,44,"Overseas",1
"150","Mohammad Wasim",2022,113,134,26,2,52,9,21,16,19,0,52,399,4.73684210526316,204,"Overseas",1
"151","Mohammed Shami",2022,59,31,9,3,14,5,6,6,1,0,20.1666666666667,143,3.25,79,"Local",1
"152","Mohammed Siraj",2022,31,26,6,0,9,3,3,3,2,1,12.5,90,5.5,49,"Local",1
"153","Mosaddek Hossain",2022,74,91,16,1,15,10,13,14,4,2,36.1666666666667,260,0,75,"Overseas",1
"154","Mujeeb Ur Rahman",2022,130,115,19,3,26,11,19,14,4,0,46.5,284,3,85,"Overseas",1
"155","Mustafizur Rahman",2022,130,159,29,2,43,10,12,16,18,1,79.8333333333333,559,3.75,121,"Overseas",1
"156","N Thushara",2022,8,16,2,1,7,0,1,3,2,1,4.33333333333333,39,9,0,"Overseas",1
"157","NK Patel",2022,51,49,4,0,8,2,11,5,0,0,19,101,3.5,42,"Overseas",1
"158","NT Ellis",2022,26,36,3,0,9,0,10,3,2,0,12.3333333333333,78,5,50,"Overseas",1
"159","Naseem Shah",2022,155,126,29,5,39,11,16,16,13,0,58,406,2.75,197,"Overseas",1
"160","Nasum Ahmed",2022,87,76,12,0,16,17,11,9,6,0,31,235,2.5,73,"Overseas",1
"161","Naveen-ul-Haq",2022,69,61,14,1,28,5,15,9,5,2,30,235,3.78947368421053,82,"Overseas",1
"162","Nijat Masood",2022,14,43,4,0,7,2,5,3,3,2,11.8333333333333,95,7.25,71,"Overseas",1
"163","Noor Ahmad",2022,15,8,2,0,0,0,5,1,1,0,4.16666666666667,10,2.4,25,"Overseas",1
"164","OC McCoy",2022,108,115,17,1,35,23,18,13,19,1,55.5,501,4.08,97,"Overseas",1
"165","OF Smith",2022,99,139,25,1,41,19,18,17,23,2,65.1666666666667,558,4,143,"Overseas",1
"166","OP Stone",2022,4,14,3,0,4,0,0,1,0,1,4.16666666666667,36,8.64,0,"Overseas",1
"167","P Jayawickrama",2022,17,32,12,0,8,3,2,4,0,0,12,106,7.25,48,"Overseas",1
"168","PA van Meekeren",2022,109,106,26,5,22,4,18,12,8,1,45.5,277,4.32,158,"Overseas",1
"169","PJ Cummins",2022,111,81,22,4,35,14,12,11,15,0,51.3333333333333,416,4.88888888888889,176,"Overseas",1
"170","PM Liyanagamage",2022,37,38,13,1,10,3,9,5,5,1,14.8333333333333,109,4.42105263157895,79,"Overseas",1
"171","PVD Chameera",2022,95,110,36,3,34,13,14,12,14,1,44.3333333333333,367,5.5,76,"Overseas",1
"172","PWH de Silva",2022,148,167,41,1,28,23,32,18,1,0,68.1666666666667,500,2,241,"Overseas",1
"173","Qais Ahmad",2022,3,5,2,0,0,2,1,1,0,0,2,21,10.5,0,"Overseas",1
"174","R Ashwin",2022,118,144,15,0,21,20,12,14,12,0,57.5,401,2,209,"Local",1
"175","R Klein",2022,5,9,4,0,4,2,1,2,0,0,4,45,9,0,"Overseas",1
"176","R Ngarava",2022,114,98,18,4,34,7,16,12,12,4,49.1666666666667,345,4.5,162,"Overseas",1
"177","R Powell",2022,3,8,0,0,1,1,0,2,1,0,3.33333333333333,27,7.71428571428571,6,"Overseas",1
